state,City,S&E,S&E-related,STEM Middle-skill
NE,SOUTH SIOUX CITY,6,7,4
NE,SUTHERLAND,0,1,0
NE,Saint Paul,0,2,0
NE,Schuyler,0,1,13
NE,Scottsbluff,0,18,10
NE,Scribner,0,2,0
NE,See job description,2,1,0
NE,Seward,0,4,1
NE,Shelby,0,0,2
NE,Sidney,3,6,2
NE,Sioux City,0,1,0
NE,Souix City,0,1,0
NE,Souix city,0,1,0
NE,South Sioux Cit,0,0,1
NE,South Sioux City,0,3,3
NE,South sioux city,0,1,0
NE,Superior,1,0,0
NE,Sutherland,0,2,0
NE,Syracuse,0,0,1
NE,Tecumseh,0,6,1
NE,Tekamah,1,6,0
NE,Valentine,0,10,0
NE,Valley,1,2,5
NE,Various; PA,0,1,0
NE,WAKEFIELD,0,0,1
NE,WAVERLY,4,0,1
NE,WAYNE,0,1,0
NE,Wahoo,0,4,1
NE,Wakefield,0,0,5
NE,Waterloo,0,2,0
NE,Wausa,0,1,0
NE,Wayne,1,3,3
NE,West Des Moines,1,0,0
NE,Windside,0,2,0
NE,Winnebago,0,1,0
NE,Wood River,0,2,0
NE,Wymore,0,1,0
NE,YORK,0,0,2
NE,York,1,5,6
NH,..,0,1,0
NH,AMHERST,0,2,1
NH,Alstead,0,0,1
NH,Amherst,0,1,0
NH,BARRINGTON,1,0,0
NH,BEDFORD,1,1,7
NH,Bedford,6,21,3
NH,Belmont,1,2,1
NH,Berlin,0,4,0
NH,Bow,0,0,3
NH,Bristol,0,1,0
NH,CANAAN,0,0,1
NH,CLAREMONT,1,3,0
NH,CONCORD,5,6,0
NH,Chester,0,1,0
NH,Claremont,2,5,8
NH,Colebrook,0,1,0
NH,Concord,26,25,4
NH,Contoocook,0,0,3
NH,DERRY,0,2,1
NH,DOVER,0,9,1
NH,Derry,0,4,4
NH,Dover,6,14,18
NH,Durham,0,3,1
NH,E Swanzey,0,0,1
NH,EXETER,2,3,0
NH,Enfield,2,0,0
NH,Epsom,0,1,0
NH,Exeter,5,4,3
NH,Farmington,1,0,1
NH,Francestown,0,0,1
NH,Franconia,0,3,0
NH,Franklin,0,9,0
NH,Fremont,0,1,0
NH,Gilford,0,1,0
NH,HANOVER,0,0,1
NH,HOOKSETT,0,0,1
NH,Hampton,1,5,1
NH,Hanover,133,69,4
NH,Hartford,1,0,0
NH,Hillsboro,0,2,0
NH,Hooksett,2,3,3
NH,Hopkinton,0,0,2
NH,Hudson,55,6,3
NH,JAFFREY,1,0,3
NH,Jaffrey,1,1,6
NH,KEENE,1,0,1
NH,Keene,1,17,5
NH,LACONIA,0,0,1
NH,LANCASTER,0,1,0
NH,LEBANON,1,1,2
NH,LITTLETON,0,1,0
NH,LONDONDERRY,1,0,8
NH,Laconia,3,8,9
NH,Lancaster,0,7,0
NH,Lebanon,17,71,3
NH,Littleton,0,1,12
NH,Londonderry,5,5,11
NH,MANCHESTER,21,0,7
NH,MERRIMACK,5,0,1
NH,Manchester,59,69,11
NH,Meredith,2,1,0
NH,Merrimack,104,36,10
NH,Milford,0,9,4
NH,Moultonborough,0,0,2
NH,NASHUA,2,0,8
NH,NEW LONDON,0,2,0
NH,NEWINGTON,9,7,0
NH,NORTH CONWAY,0,8,0
NH,Nashua,256,55,20
NH,Nashua (Webster Square),0,1,0
NH,New Boston,0,0,1
NH,New Hampton,0,0,1
NH,New Market,0,1,0
NH,Newington,3,5,6
NH,Newton,1,0,0
NH,North Conway,3,7,0
NH,North Hampton,1,1,0
NH,Northern NH,1,0,0
NH,Not Applicable,0,0,1
NH,PELHAM,0,0,8
NH,PLAISTOW,0,0,5
NH,PORTSMOUTH,6,0,5
NH,Parsippany,1,0,0
NH,Pelham,1,0,0
NH,Peterborough,0,4,10
NH,Plaistow,0,0,4
NH,Plymouth,0,0,1
NH,Portsmouth,43,10,19
NH,RAYMOND,1,0,3
NH,ROCHESTER OPERATION,0,0,1
NH,Raymond,0,1,0
NH,Rochester,4,5,6
NH,Rye,0,1,0
NH,SEABROOK,0,0,1
NH,SOMERSWORTH,0,0,1
NH,SUNCOOK,0,0,2
NH,Salem,11,6,34
NH,Seabrook,17,1,2
NH,Shrewsbury,0,0,1
NH,So. NH,1,0,0
NH,Somersworth,1,3,2
NH,Stratham,0,1,4
NH,Tilton,0,2,11
NH,W. Swanzey,1,0,0
NH,WEST LEBANON,0,0,1
NH,WOLFEBORO,1,0,0
NH,West Lebanon,0,0,1
NH,Westmoreland,1,0,0
NH,Wilton,0,1,0
NH,Winchester,0,3,0
NH,Windham,0,1,0
NH,Wolfeboro,2,12,0
NH,salem,0,0,9
NH,wilton,0,0,1
NJ,*Bridgewater,1,0,0
NJ,220 circle Drive North,4,0,1
NJ,3 Gatehall Drive,0,0,1
NJ,"379 Thornall St # 10,",1,0,0
NJ,395 West Passaic Street Rochelle Park,1,0,0
NJ,ABSECON,0,0,1
NJ,ALPHA,0,0,1
NJ,ARMY,2,0,0
NJ,ATLANTIC CITY,3,4,1
NJ,Absecon,0,2,2
NJ,Allendale,6,1,0
NJ,Allentown,0,1,0
NJ,Andover,1,0,0
NJ,Asbury Park,0,1,0
NJ,Atlantic City,15,5,2
NJ,Atlantic City Airport,1,0,0
NJ,Atlantic Highlands,0,1,0
NJ,Audubon,0,3,1
NJ,Avenel,3,3,1
NJ,Avnel,0,1,0
NJ,BASKING RIDGE,23,4,1
NJ,BAYONNE,0,0,2
NJ,BEDMINSTER,4,0,0
NJ,BELLMAWR,0,0,1
NJ,BERKELEY HEIGHTS,17,5,0
NJ,BERLIN,0,5,0
NJ,BLOOMFIELD,9,0,0
NJ,BLOOMINGDALE,0,1,0
NJ,BRICK,0,0,1
NJ,BRICK TOWN,2,0,0
NJ,BRIDGETON,0,0,3
NJ,BRIDGEWATER,18,4,5
NJ,BURLINGTON,2,0,1
NJ,Baltimore,0,0,1
NJ,Barnegat,0,1,0
NJ,Barrington,0,1,2
NJ,Basking Ridge,116,8,4
NJ,Bayonne,1,0,2
NJ,Bedminster,26,4,0
NJ,Belle Mead,0,1,1
NJ,Belleville,0,7,1
NJ,Bellmawr,1,2,2
NJ,Belvidere,0,1,0
NJ,Bergen/Passaic Counties,0,0,1
NJ,Bergenfield,1,0,0
NJ,Berkeley Heights,13,3,0
NJ,Berkley,0,1,0
NJ,Berlin,0,4,0
NJ,Bernards,0,1,0
NJ,Bernardsville,3,0,0
NJ,Blackwood,0,2,2
NJ,Bloomfield,15,4,1
NJ,Bloomingdale,0,1,0
NJ,Boonton,1,0,0
NJ,Bordentown,0,0,4
NJ,Bound Brook,1,1,1
NJ,Branchburg,34,32,16
NJ,Brick,1,82,1
NJ,Bridgeport,0,3,2
NJ,Bridgeton,0,1,1
NJ,Bridgewater,160,32,13
NJ,Bridgwater,1,0,1
NJ,Brigantine,0,4,0
NJ,Budd Lake,1,3,0
NJ,Buena,0,1,0
NJ,Burlington,8,17,6
NJ,Burlington Township,0,10,0
NJ,CALDWELL,0,0,1
NJ,CAMDEN,0,0,1
NJ,CAPE MAY COURT HOUSE,0,2,0
NJ,CARTERET,0,2,1
NJ,CHERRY HILL,3,6,4
NJ,CINNAMINSON,0,0,2
NJ,CLARK,4,0,1
NJ,CLEMENTON,0,0,1
NJ,CLIFTON,0,0,4
NJ,COLONIA,0,0,1
NJ,CRANBURY,4,1,0
NJ,Caldwell,1,1,1
NJ,Califon,2,1,0
NJ,Camden,39,230,25
NJ,Cape May,0,9,1
NJ,Cape May Court House,0,7,0
NJ,Cape May Point,0,1,0
NJ,Carlstadt,13,2,2
NJ,Carney's Point,0,1,0
NJ,Carteret,0,2,7
NJ,Cedar Grove,1,8,1
NJ,Cedar Knolls,1,0,0
NJ,Chatham,0,0,3
NJ,Cherry Hill,25,43,3
NJ,Cherry Hill Township,0,3,0
NJ,Chester,3,3,0
NJ,Cinnaminson,3,10,1
NJ,Clark,21,4,1
NJ,Clementon,0,1,2
NJ,Cliffwood,0,0,2
NJ,Clifton,26,20,3
NJ,Clinton,4,3,1
NJ,Cokesbury,2,0,0
NJ,Colts Neck,0,1,0
NJ,Columbus,0,1,0
NJ,Cranberry,0,1,0
NJ,Cranbury,21,4,19
NJ,Cranbury New Jersey,1,0,0
NJ,Cranford,1,2,3
NJ,Cresskill,0,0,1
NJ,Cumberland County,0,0,1
NJ,DAYTON,1,0,1
NJ,DEEPWATER,1,0,2
NJ,DELRAN,0,0,1
NJ,DENVILLE,0,6,1
NJ,DEPTFORD,0,0,1
NJ,DEVENS,0,1,0
NJ,DOVER,0,0,3
NJ,Dayton,1,1,7
NJ,"Dayton, NJ",0,0,1
NJ,DeepWater,0,1,0
NJ,Deepwater,2,0,0
NJ,Delanco,0,0,2
NJ,Delran,0,1,1
NJ,Dennisville,0,1,0
NJ,Denville,0,2,1
NJ,Deptford,0,4,1
NJ,Dover,8,12,1
NJ,E Brunswick,0,0,1
NJ,E. Brunswick,1,0,0
NJ,EAST BRUNSWICK,1,0,2
NJ,EAST HANOVER,0,0,3
NJ,EAST ORANGE,0,1,0
NJ,EAST WINDSOR,0,0,1
NJ,EATONTOWN,7,3,0
NJ,EDISON,11,6,7
NJ,EDISON *,1,0,0
NJ,EGG HARBOR TOWNSHIP,5,1,0
NJ,EGG HARBOR TWP,0,0,1
NJ,ELIZABETH,2,0,1
NJ,ELMWOOD PARK,0,1,1
NJ,ENGLEWOOD,0,4,0
NJ,EWING,0,0,1
NJ,East Brunswick,40,5,7
NJ,East Hanover,45,24,5
NJ,East Millstone,1,0,0
NJ,East Orange,0,4,3
NJ,East Riverton,0,0,1
NJ,East Rutherford,5,8,2
NJ,East Windsor,4,11,5
NJ,Eatontown,17,11,3
NJ,Edgewater,1,1,0
NJ,Edgewater Park,6,0,9
NJ,Edison,149,39,15
NJ,Egg Harbor,0,1,0
NJ,Egg Harbor City,0,2,0
NJ,Egg Harbor Township,12,9,16
NJ,Egg Harbor Twp,0,1,0
NJ,Elizabeth,4,8,19
NJ,Elmwood Park,8,2,1
NJ,Elwood,0,1,0
NJ,Emerson,0,4,0
NJ,Engelwood,0,8,0
NJ,Englewood,2,6,0
NJ,Englewood Cliffs,12,1,11
NJ,Essex Fells,0,1,0
NJ,Estell Manor,0,1,0
NJ,Ewing,51,6,2
NJ,Exton,1,0,0
NJ,FAIR LAWN,2,0,3
NJ,FAIRFIELD,0,0,1
NJ,FLANDERS,2,0,1
NJ,FLEMINGTON,0,0,1
NJ,FLORHAM PARK,30,0,1
NJ,FORKED RIVER,0,0,3
NJ,FORT DIX,0,1,0
NJ,FORT LEE,2,0,0
NJ,FRANKLIN LAKES,2,0,4
NJ,FREEHOLD,0,2,0
NJ,Fair Lawn,4,8,0
NJ,Fair lawn,1,0,0
NJ,Fairfield,9,7,1
NJ,Fairview,0,0,1
NJ,Fanwood,0,1,0
NJ,Far Hills,2,0,0
NJ,Farmingdale,0,1,0
NJ,Flanders,9,3,2
NJ,Fleming,1,0,0
NJ,Flemington,1,5,2
NJ,Florence,1,0,0
NJ,Florham Park,157,10,3
NJ,"Florham Park, NJ",0,0,2
NJ,Fords,0,0,1
NJ,Forked,0,1,0
NJ,Forked River,2,2,1
NJ,Fort Dix,28,1,4
NJ,Fort Lee,1,1,0
NJ,Franklin,0,0,1
NJ,Franklin Lakes,62,17,4
NJ,Franklinville,0,0,1
NJ,Freehold,13,56,7
NJ,GARFIELD,0,0,1
NJ,GLASSBORO,0,0,1
NJ,Galloway,4,2,0
NJ,Garfield,0,2,0
NJ,Gladstone,1,0,0
NJ,Glassboro,16,4,7
NJ,Glen Rock,1,1,0
NJ,HACKENSACK,2,0,12
NJ,HACKETTSTOWN,1,17,3
NJ,HAMILTON,0,11,0
NJ,HAMPTON,5,3,0
NJ,HAZLET,0,0,1
NJ,HIGHLAND PARK,3,0,0
NJ,HILLSIDE,0,0,7
NJ,HOBOKEN,1,0,2
NJ,HOPEWELL,3,0,0
NJ,HOWELL,0,0,1
NJ,Hackensack,16,218,9
NJ,Hackettstown,6,5,5
NJ,Haddonfield,1,0,0
NJ,Hainesport,0,4,0
NJ,Hamilton,20,12,3
NJ,Hamilton Township,0,1,0
NJ,Hammonton,0,3,5
NJ,Hampton,0,2,0
NJ,Hancocks Bridge,2,0,1
NJ,Harrison,0,0,1
NJ,Hasbrouck Heights,0,1,0
NJ,Haworth,0,0,1
NJ,Hawthorne,0,0,1
NJ,Hazlet,1,3,0
NJ,Highland Park,0,0,1
NJ,Hightstown,2,2,2
NJ,Hillsborough,4,2,3
NJ,Hillside,0,0,1
NJ,Hoboken,31,3,2
NJ,Holmdel,5,42,0
NJ,Hopewell,9,1,2
NJ,Howell,1,0,2
NJ,ISELIN,16,0,0
NJ,Iselin,49,14,9
NJ,JERICHO,0,2,0
NJ,JERSEY  CITY,2,0,0
NJ,JERSEY CITY,34,12,2
NJ,Jackson,0,6,1
NJ,Jamesburg,7,1,0
NJ,Jersey City,460,72,22
NJ,Jersey city,1,0,0
NJ,Kearny,0,0,2
NJ,Keasbey,1,1,1
NJ,Kenilworth,11,0,2
NJ,Kenvil,0,1,0
NJ,Kinnelon,0,1,1
NJ,LAKEHURST,3,0,0
NJ,LAKEWOOD,0,3,1
NJ,LAMBERTVILLE,2,0,0
NJ,LANOKAHARBOR,0,0,1
NJ,LAWRENCEVILLE,2,2,0
NJ,LEBANON,1,0,0
NJ,LINDEN,0,0,1
NJ,LIVINGSTON,0,2,0
NJ,LONG BRANCH,0,2,0
NJ,LYNDHURST,0,1,0
NJ,Lacey,0,1,0
NJ,Lafayette,0,0,1
NJ,Lake Hopatcong,0,0,1
NJ,Lakehurst,39,4,6
NJ,Lakewood,3,15,8
NJ,"Lakewood, NJ 08701",0,0,3
NJ,Landing,0,0,1
NJ,Lanokaharbor,0,0,1
NJ,Lavallette,0,1,0
NJ,Lawnside,0,2,0
NJ,Lawrence Township,0,0,2
NJ,Lawrenceville,6,10,3
NJ,Lebanon,3,2,0
NJ,Ledgewood,0,2,2
NJ,Leonia,5,1,3
NJ,Liberty Corner,37,6,2
NJ,Lincoln Park,0,0,2
NJ,Lincroft,1,1,0
NJ,Linden,5,5,4
NJ,Linwood,5,1,0
NJ,Little Falls,4,2,1
NJ,Livingston,17,89,3
NJ,Lodi,0,1,1
NJ,Logan Township,1,2,11
NJ,Logan Twp.,0,0,1
NJ,Long Branch,1,45,2
NJ,Longport,0,1,0
NJ,Lumberton,1,2,1
NJ,Lyndhurst,10,4,3
NJ,Lyons,1,2,0
NJ,MAHWAH,9,1,1
NJ,MANTUA,0,1,1
NJ,MANVILLE,0,1,0
NJ,MAPLESHADE,0,0,1
NJ,MARGATE,0,0,1
NJ,MARLTON,5,7,1
NJ,MATAWAN,15,0,0
NJ,MENDHAM,2,0,0
NJ,METUCHEN,1,0,0
NJ,MIDDLETOWN,1,0,1
NJ,MILFORD,0,0,1
NJ,MILLTOWN,0,0,1
NJ,MILLVILLE,2,0,0
NJ,MONMOUTH JUNCTION,2,0,1
NJ,MONROE TOWNSHIP,0,0,1
NJ,MONTVALE,9,0,0
NJ,MOONACHIE,0,0,1
NJ,MOORESTOWN,0,0,4
NJ,MORGANVILLE,0,0,1
NJ,MORRIS PLAINS,0,2,0
NJ,MORRISTOWN,8,3,9
NJ,MOUNT LAUREL,34,1,0
NJ,MURRAY HILL,5,0,0
NJ,Madison,9,14,2
NJ,Mahwah,26,4,11
NJ,Malton,0,7,0
NJ,Manahawkin,0,37,1
NJ,Manalapan,2,1,1
NJ,Manasquan,2,1,0
NJ,Manchester,1,2,0
NJ,Manchester Township,0,0,5
NJ,Maple Shade,2,10,5
NJ,Mapleshade,0,0,1
NJ,Maplewood,1,0,0
NJ,Margate,0,1,0
NJ,Marlboro,0,1,1
NJ,Marlton,5,38,3
NJ,Marmora,0,1,1
NJ,Matawan,39,12,7
NJ,Mays Landing,0,2,1
NJ,McAfee,0,0,1
NJ,McGuire AFB,0,1,0
NJ,Medford,0,3,0
NJ,Mendham,1,1,0
NJ,Metuchen,2,0,0
NJ,Mickleton,0,0,1
NJ,Middlesex,2,4,1
NJ,Middletown,26,4,2
NJ,Milford,0,1,0
NJ,Millburn,0,2,0
NJ,Millstone,0,0,5
NJ,Millstone Township,0,0,3
NJ,Milltown,0,0,2
NJ,Millville,0,30,6
NJ,Mine Hill,0,0,1
NJ,Monmouth,0,7,0
NJ,Monmouth Junction,6,6,2
NJ,Monmouth junction,1,0,0
NJ,Monroe,2,0,0
NJ,Monroe Township,5,15,7
NJ,Monroeville,0,0,1
NJ,Montclair,1,1,0
NJ,Montclairr,0,1,0
NJ,Montvale,45,7,3
NJ,Montville,0,3,5
NJ,Moonachie,3,0,1
NJ,Moorestown,48,55,11
NJ,Morganville,2,1,0
NJ,Morris Plains,15,8,1
NJ,Morristown,101,31,6
NJ,Mount Arlington,1,0,1
NJ,Mount Ephraim,0,0,2
NJ,Mount Holly,0,68,1
NJ,Mount Laurel,131,92,12
NJ,Mount Olive,1,0,0
NJ,Mountainside,0,2,0
NJ,Mt Laurel,2,0,0
NJ,Mt. Arlington,1,0,0
NJ,Mt. Laurel,13,7,1
NJ,Mt. laurel,1,0,0
NJ,Mt.Laurel,1,0,0
NJ,Mullica Hill,0,1,0
NJ,Murray Hill,45,1,0
NJ,NEPTUNE,0,0,1
NJ,NEW BRUNSWICK,4,4,0
NJ,NEWARK,2,22,3
NJ,NEWTON,0,1,1
NJ,NORTH BERGEN,1,0,1
NJ,NORTH BRUNSWICK,1,1,0
NJ,Neptune,6,120,3
NJ,Neptune Township,0,0,1
NJ,New,0,1,0
NJ,New Brunswick,87,195,49
NJ,New Providence,6,3,0
NJ,Newark,148,100,31
NJ,Newton,4,12,5
NJ,Newtonville,6,0,0
NJ,North Bergen,0,1,2
NJ,North Brunswick,28,19,18
NJ,North Burlington,1,1,0
NJ,North Cape,0,1,0
NJ,North Cape May,0,2,0
NJ,North Jersey,0,1,0
NJ,Northfield,0,4,0
NJ,Northvale,4,0,0
NJ,Nutley,1,0,2
NJ,OCEAN,0,0,1
NJ,OLD BRIDGE,0,0,2
NJ,Oakland,5,0,3
NJ,Oaklyn,0,0,1
NJ,Ocean,0,1,0
NJ,Ocean City,0,1,0
NJ,Ocean Grove,0,7,1
NJ,Ocean View,0,1,0
NJ,Oceanport,1,2,0
NJ,Old Bridge,3,0,0
NJ,Old Tappan,2,0,0
NJ,Oradell,1,1,0
NJ,Orange,0,1,1
NJ,PARAMUS,6,0,2
NJ,PARK RIDGE,0,2,0
NJ,PARSIPPANY,48,5,5
NJ,PASSAIC,0,0,2
NJ,PATERSON,0,2,1
NJ,PEAPACK,1,0,0
NJ,PENNINGTON,6,2,1
NJ,PENNSAUKEN,0,0,2
NJ,PERTH AMBOY,2,0,0
NJ,PINE BROOK,0,0,1
NJ,PISCATAWAY,19,0,0
NJ,PLAINSBORO,12,2,2
NJ,POMPTON PLAINS,0,0,1
NJ,PRINCETON,46,26,3
NJ,Palisades Park,0,1,6
NJ,Paramus,9,5,8
NJ,Park Ridge,5,0,0
NJ,Parlin,6,0,0
NJ,Parsippany,212,23,11
NJ,Parsippany-Troy Hills,19,2,0
NJ,Passaic,0,1,0
NJ,Paterson,8,9,10
NJ,Paulsboro,5,3,2
NJ,Peapack,14,3,4
NJ,Pennington,52,2,6
NJ,Pennsauken,4,8,3
NJ,Pennsville,0,6,1
NJ,Perth Amboy,0,1,6
NJ,Phillipsburg,1,20,0
NJ,Picatinny,1,0,0
NJ,Picatinny Arsenal,6,2,2
NJ,Pilesgrove,0,1,0
NJ,Pine Brook,4,4,4
NJ,Piscataway,120,17,13
NJ,Plainfield,1,2,3
NJ,Plainsboro,26,17,0
NJ,Pleasantville,0,2,14
NJ,Point Pleasant,0,2,0
NJ,Point Pleasant Beach,2,1,0
NJ,Pomona,1,0,0
NJ,Port Reading,1,0,0
NJ,Port Republic,0,1,0
NJ,Princeton,277,107,32
NJ,RAHWAY,1,0,0
NJ,RAMSEY,1,0,0
NJ,RANDOLPH,2,0,0
NJ,RIDGEFIELD,0,0,1
NJ,RIDGEFIELD PARK,1,0,0
NJ,RIDGEWOOD,0,11,0
NJ,RIO GRANDE,0,1,0
NJ,RIVER EDGE,0,0,1
NJ,ROBBINSVILLE,1,0,2
NJ,ROCKAWAY,3,0,0
NJ,ROSELAND,3,0,1
NJ,Rahway,23,11,1
NJ,Ramsey,6,1,0
NJ,Randolph,2,1,1
NJ,Raritan,30,15,2
NJ,Red Bank,86,106,2
NJ,Remote,1,0,0
NJ,Remote Work,1,0,0
NJ,Ridgefield,1,1,3
NJ,Ridgefield Park,4,0,1
NJ,Ridgefield Ridgefield (owned),1,0,0
NJ,Ridgewood,0,3,1
NJ,Rio Grande,0,1,0
NJ,River Edge,0,1,0
NJ,Riverdale,1,0,0
NJ,Robbinsville,1,2,2
NJ,Robinsville,0,0,2
NJ,Rochelle Park,2,2,1
NJ,Rockaway,5,0,2
NJ,Rockleigh,8,0,1
NJ,Roseland,53,9,0
NJ,Roselle,0,1,0
NJ,Roselle Park,0,1,0
NJ,Route 206 & Province Line Rd,1,0,0
NJ,Rutgers,5,11,2
NJ,Rutherford,2,0,0
NJ,SADDLE BROOK,0,0,2
NJ,SECAUCUS,1,5,3
NJ,SEWELL,0,2,0
NJ,SHORT HILLS,0,0,1
NJ,SICKLERVILLE,0,0,1
NJ,SOMERS POINT,0,2,0
NJ,SOMERSET,14,0,2
NJ,SOMERVILLE,12,2,1
NJ,SOUTH AMBOY,1,0,0
NJ,SOUTH ORANGE,2,0,0
NJ,SOUTH PLAINFIELD,4,0,2
NJ,STAFFORD TOWNSHIP,0,0,1
NJ,STRATFORD,0,11,0
NJ,SUCCASUNNA,0,0,3
NJ,SUMMERSET,7,0,0
NJ,SUMMIT,0,1,0
NJ,SWEDESBORO,0,0,2
NJ,Saddle Brook,83,10,5
NJ,Saddle River,1,1,0
NJ,Salem,0,7,1
NJ,San Diego,1,0,0
NJ,Sandy Hook,0,0,1
NJ,Sayreville,2,0,2
NJ,Sayreville/Jackson Twp./Asbury Park/Old Bridge,1,0,0
NJ,Sea Isle City,0,1,0
NJ,Seabrook,0,0,1
NJ,Secaucus,19,6,11
NJ,Sewaren,0,0,2
NJ,Sewell,0,20,1
NJ,Short Hills,7,0,1
NJ,Shrewsbury,5,11,0
NJ,Sicklerville,0,1,1
NJ,Skillman,5,0,0
NJ,Somers Point,0,6,0
NJ,Somerset,116,139,13
NJ,Somerville,9,3,3
NJ,South,0,5,0
NJ,South Amboy,2,0,0
NJ,South Brunswick,3,0,1
NJ,South Hackensack,0,0,2
NJ,South Plainfield,15,15,7
NJ,"South Plainfield, NJ 07080",1,0,0
NJ,South River,0,2,1
NJ,Southfield,0,1,0
NJ,Sparta,1,5,2
NJ,Spotswood,0,0,1
NJ,Springfield,2,3,2
NJ,Stewartsville,3,0,2
NJ,Stone Harbor,0,1,0
NJ,Stratford,0,6,0
NJ,Succasunna,0,0,2
NJ,Summit,13,1,0
NJ,Sussex,1,2,0
NJ,Swedesboro,4,1,6
NJ,TEANECK,2,4,0
NJ,TETERBORO,0,0,2
NJ,THOROFARE,0,2,1
NJ,TINTON FALLS,1,0,0
NJ,TOMS RIVER,0,0,1
NJ,TOTOWA,0,0,3
NJ,TOWACO,2,0,0
NJ,TRENTON,10,2,9
NJ,TURNERSVILLE,0,0,1
NJ,Teaneck,22,6,0
NJ,Teterboro,3,0,6
NJ,Thorofare,0,2,1
NJ,Tinton Falls,9,2,1
NJ,Titusville,8,5,2
NJ,Toms River,7,95,10
NJ,Topeka KS Bridgewater,1,0,0
NJ,Totowa,11,5,2
NJ,Trenton,107,60,16
NJ,Troy Hills,27,2,3
NJ,Tuckahoe,0,0,1
NJ,Tuckerton,0,1,0
NJ,Turnersville,0,1,1
NJ,UNION,0,0,2
NJ,Union,11,6,7
NJ,Union City,0,0,1
NJ,Upper Saddle River,2,0,0
NJ,VAUXHALL,0,0,1
NJ,VERONA,0,2,0
NJ,VOORHEES,0,1,0
NJ,Various,0,2,0
NJ,Ventnor,0,1,0
NJ,Vernon,1,0,1
NJ,Verona,0,4,0
NJ,Villas,0,1,0
NJ,Vineland,0,6,9
NJ,Voorhees,7,129,2
NJ,W CALDWELL,0,0,1
NJ,W Caldwell,0,0,1
NJ,W LONG BRANCH,3,0,0
NJ,WALLINGTON,0,1,0
NJ,WARREN,22,0,0
NJ,WASHINGTON,1,0,4
NJ,WATCHUNG,0,0,1
NJ,WAYNE,4,2,2
NJ,WEST BERLIN,0,0,3
NJ,WEST CALDWELL,1,0,0
NJ,WEST PATERSON,1,1,0
NJ,WEST TRENTON,2,0,0
NJ,WESTAMPTON,0,0,2
NJ,WESTMONT,0,0,2
NJ,WESTWOOD,3,0,0
NJ,WHARTON,1,1,0
NJ,WILLIAMSTOWN,0,0,3
NJ,WILLINGBORO,0,1,0
NJ,WOODBRIDGE,2,0,1
NJ,WOODBURY,0,0,1
NJ,WOOLWICH TOWNSHIP,0,0,1
NJ,Waldwick,0,1,0
NJ,Wall,7,5,5
NJ,Wall Township,4,19,0
NJ,Waretown,0,2,0
NJ,Warren,65,4,0
NJ,Washington,0,2,0
NJ,Watchung,1,3,1
NJ,Wayne,25,17,10
NJ,Weehawken,27,3,0
NJ,West,0,2,0
NJ,West Caldwell,19,4,4
NJ,West Deptford,1,3,1
NJ,West Milford,0,0,1
NJ,West New York,0,1,1
NJ,West Orange,5,13,1
NJ,West Trenton,1,0,0
NJ,Westampton,0,8,1
NJ,Westfield,1,4,3
NJ,Westhampton,0,1,0
NJ,Westmont,0,1,0
NJ,Westville,1,0,0
NJ,Wharton,2,3,0
NJ,Whippany,27,11,0
NJ,Whiteboro,0,1,0
NJ,Whitehouse,4,3,0
NJ,Whitehouse Station,5,0,0
NJ,Whiting,0,17,0
NJ,Wildwood,0,1,0
NJ,Williamstown,0,2,0
NJ,Willingboro,0,10,1
NJ,Woodbine,0,1,1
NJ,Woodbridge,25,0,1
NJ,Woodbury,0,13,1
NJ,Woodbury Heights,0,1,0
NJ,Woodcliff Lake,21,6,0
NJ,Woodland Park,2,1,0
NJ,Wrightstown,10,1,3
NJ,edison,1,0,0
NJ,franklin lakes,1,0,0
NJ,glassboro,0,0,1
NJ,hoboken,1,0,0
NJ,iselin,2,0,0
NJ,jersey city,1,0,0
NJ,la,1,0,0
NJ,lakewood,0,0,1
NJ,millville,0,0,1
NJ,monroe,1,0,0
NJ,new brunswick,1,0,0
NJ,parsippany,1,0,0
NJ,piscataway,1,0,0
NJ,roseland,0,1,0
NJ,union,0,0,1
NJ,whitehouse station,1,0,0
NJ,woodbridge,2,1,0
NM,ALAMOGORDO,0,0,1
NM,ALBUQUERQUE,21,46,13
NM,ARTESIA,1,0,0
NM,Alamogordo,0,1,1
NM,Albuq,0,1,0
NM,Albuquerque,278,241,54
NM,"Albuquerque,",1,0,0
NM,Artesia,2,1,6
NM,Aztec,0,6,1
NM,Belen,0,5,0
NM,Bloomfield,0,0,2
NM,CLOVIS,4,6,0
NM,Cannon AFB,8,0,1
NM,Cannon Air Force Base,1,0,0
NM,Carlsbad,2,11,13
NM,Chaparral,0,4,2
NM,Cimarron,0,0,1
NM,Clovis,1,16,1
NM,DORA,0,0,2
NM,Deming,0,4,2
NM,Dona Ana,0,0,2
NM,Dulce,0,0,2
NM,EL PASO,1,0,0
NM,ESPANOLA,0,18,0
NM,ESTANCIA,0,2,0
NM,EUNICE,1,0,0
NM,Espanola,0,7,0
NM,FARMINGTON,1,2,0
NM,Farmington,3,10,6
NM,GALLUP,0,12,2
NM,GRANTS,0,4,2
NM,Gallup,2,9,1
NM,Grants,0,5,0
NM,HOBBS,0,1,1
NM,HOLLOMAN,0,0,2
NM,Hobbs,2,19,4
NM,Holloman Afb,0,1,0
NM,Kirtland AFB,7,1,0
